"Name","Hometown","Year","Sport"
"Art Schoenstadt","Sammamish, Wa.",2021,"baseball"
"Jackson Lancaster","Corinth, Miss.",2021,"baseball"
"Seth Halvorsen","Plymouth, Minn.",2021,"baseball"
"Mark Vierling","St. Louis, Mo.",2021,"baseball"
"Clayton Peterson","Edmond, Okla.",2021,"baseball"
"Konnor Ash","Plainfield, Ill.",2021,"baseball"
"Josh Day","Natchez, Miss.",2021,"baseball"
"Cameron Swanger","Loveland, Ohio",2021,"baseball"
"Alex Peterson","Edmond, Okla.",2021,"baseball"
"Luke  Mann","St. Louis, Mo.",2021,"baseball"
"Ben Pedersen","Duluth, Minn.",2021,"baseball"
"Jared Simpson","Clinton, Iowa",2021,"baseball"
"Chad McDaniel","Coral Springs, Fla.",2021,"baseball"
"Brandt Belk","Houston, Texas",2021,"baseball"
"Andrew Keefer","Allen, Texas",2021,"baseball"
"Dalton McNamara","Lino Lakes, Minn.",2021,"baseball"
"Paul Winland","Beaufort, S.C.",2021,"baseball"
"Torin Montgomery","Kirkland, Wash.",2021,"baseball"
"Andrew Vail","Woodstown, N.J.",2021,"baseball"
"Garrison Bennett","Green Oaks, Ill.",2021,"baseball"
"Shane Wilhelm","Columbia, Ill.",2021,"baseball"
"Ty Wilmsmeyer","Springfield, Mo.",2021,"baseball"
"Drew Garrett","Columbia, Mo.",2021,"baseball"
"Spencer Miles","Columbia, Mo.",2021,"baseball"
"Parker Wright","Columbia, Mo.",2021,"baseball"
"Holden Phelps","Crystal Lake, Ill.",2021,"baseball"
"Jacob Kush","Guelph, Ontario, Canada",2021,"baseball"
"Lukas Veinbergs","Pinckney, Mich.",2021,"baseball"
"Austin Troesser","Loose Creek, Mo.",2021,"baseball"
"Zach Hise","Joliet, Ill.",2021,"baseball"
"Cameron  Pferrer","Carmel, Ind.",2021,"baseball"
"Spencer Juergens","Washington, Mo.",2021,"baseball"
"Trevor Austin","Jefferson City, Mo.",2021,"baseball"
"CJ Cepicky","St. Louis, Mo.",2021,"baseball"
"Ian Lohse","St. Louis, Mo.",2021,"baseball"
"Trey Dillard","Phoenix, Ariz.",2021,"baseball"
"Trae Robertson","Columbia, Mo.",2021,"baseball"
"Garrett Rice","Willard, Mo.",2021,"baseball"
"Brenner Maloney","Liberty, Mo.",2021,"baseball"
"Ross Lovich","Overland Park, Kan.",2021,"baseball"
"Jackson Beaman","Lincoln, Mo.",2021,"baseball"
"Nathan Chester","Kansas City, Mo.",2021,"baseball"
"William Fricker","Kansas City, Mo.",2021,"baseball"
"Caden Griffin","Ottawa, Ontario, Canada",2021,"baseball"
"Christian Long","Houston, Texas",2021,"baseball"
"Gabe Nutter","Kansas City, Mo.",2021,"baseball"
